experiment,job,metric,metric_display,mean,std,num_seeds,complete
ablations/cycles/cycles_2,jobs/ablations/cycles/cycles_2.sh,petsknn_knn_test_accuracy,Pets kNN,0.1869209856,0.0056764755,3,True
ablations/cycles/cycles_2,jobs/ablations/cycles/cycles_2.sh,training_time,Training time (h),10.8659871419,0.5552255340,3,True
ablations/cycles/cycles_20,jobs/ablations/cycles/cycles_20.sh,aircraft_test_accuracy,Aircraft Lin.,0.1725172549,0.0122865820,3,True
ablations/cycles/cycles_20,jobs/ablations/cycles/cycles_20.sh,aircraftknn_knn_test_accuracy,Aircraft kNN,0.0949094892,0.0039157458,3,True
ablations/cycles/cycles_20,jobs/ablations/cycles/cycles_20.sh,cars_test_accuracy,Cars Lin.,0.0977505147,0.0025541906,3,True
ablations/cycles/cycles_20,jobs/ablations/cycles/cycles_20.sh,carsknn_knn_test_accuracy,Cars kNN,0.0482913852,0.0034906331,3,True
ablations/cycles/cycles_20,jobs/ablations/cycles/cycles_20.sh,cifar100knn_knn_test_accuracy,CIFAR-100-LT kNN,0.3563333452,0.0083548380,3,True
ablations/cycles/cycles_20,jobs/ablations/cycles/cycles_20.sh,cifar100r_test_accuracy,CIFAR-100-LT Lin.,0.4462666810,0.0087088104,3,True
ablations/cycles/cycles_20,jobs/ablations/cycles/cycles_20.sh,cifar10knn_knn_test_accuracy,CIFAR-10-LT kNN,0.6653999686,0.0068286210,3,True
ablations/cycles/cycles_20,jobs/ablations/cycles/cycles_20.sh,cifar10r_test_accuracy,CIFAR-10-LT Lin.,0.7159333229,0.0105377138,3,True
ablations/cycles/cycles_20,jobs/ablations/cycles/cycles_20.sh,flowers_test_accuracy,Flowers Lin.,0.2701525390,0.0210101306,3,True
ablations/cycles/cycles_20,jobs/ablations/cycles/cycles_20.sh,flowersknn_knn_test_accuracy,Flowers kNN,0.2493630201,0.0050134021,3,True
ablations/cycles/cycles_20,jobs/ablations/cycles/cycles_20.sh,imagenet100lt_test_accuracy,ImageNet-100-LT Lin.,0.4206297398,0.0145137114,3,True
ablations/cycles/cycles_20,jobs/ablations/cycles/cycles_20.sh,imagenet100ltknn_knn_test_accuracy,ImageNet-100-LT kNN,0.3626492918,0.0121936006,3,True
ablations/cycles/cycles_20,jobs/ablations/cycles/cycles_20.sh,pets_test_accuracy,Pets Lin.,0.3333333433,0.0439288318,3,True
ablations/cycles/cycles_20,jobs/ablations/cycles/cycles_20.sh,petsknn_knn_test_accuracy,Pets kNN,0.1855183095,0.0117208716,3,True
ablations/cycles/cycles_20,jobs/ablations/cycles/cycles_20.sh,training_time,Training time (h),32.0581512451,2.5866947174,3,True
ablations/generation/flux,jobs/ablations/generation/flux.sh,aircraft_test_accuracy,Aircraft Lin.,0.1747174710,0.0094988486,3,True
ablations/generation/flux,jobs/ablations/generation/flux.sh,aircraftknn_knn_test_accuracy,Aircraft kNN,0.0941094086,0.0094703725,3,True
ablations/generation/flux,jobs/ablations/generation/flux.sh,cars_test_accuracy,Cars Lin.,0.1026584879,0.0128883040,3,True
ablations/generation/flux,jobs/ablations/generation/flux.sh,carsknn_knn_test_accuracy,Cars kNN,0.0566809885,0.0071149315,3,True
ablations/generation/flux,jobs/ablations/generation/flux.sh,cifar100knn_knn_test_accuracy,CIFAR-100-LT kNN,0.3537333310,0.0077034589,3,True
ablations/generation/flux,jobs/ablations/generation/flux.sh,cifar100r_test_accuracy,CIFAR-100-LT Lin.,0.4210000038,0.0141396523,3,True
ablations/generation/flux,jobs/ablations/generation/flux.sh,cifar10knn_knn_test_accuracy,CIFAR-10-LT kNN,0.6579332948,0.0096438238,3,True
ablations/generation/flux,jobs/ablations/generation/flux.sh,cifar10r_test_accuracy,CIFAR-10-LT Lin.,0.7065666318,0.0044881520,3,True
ablations/generation/flux,jobs/ablations/generation/flux.sh,flowers_test_accuracy,Flowers Lin.,0.2941176593,0.0457516387,3,True
ablations/generation/flux,jobs/ablations/generation/flux.sh,flowersknn_knn_test_accuracy,Flowers kNN,0.2765761614,0.0101108858,3,True
ablations/generation/flux,jobs/ablations/generation/flux.sh,imagenet100lt_test_accuracy,ImageNet-100-LT Lin.,0.4366992414,0.0140077733,3,True
ablations/generation/flux,jobs/ablations/generation/flux.sh,imagenet100ltknn_knn_test_accuracy,ImageNet-100-LT kNN,0.3865363896,0.0116961813,3,True
ablations/generation/flux,jobs/ablations/generation/flux.sh,pets_test_accuracy,Pets Lin.,0.3152174056,0.0287581757,3,True
ablations/generation/flux,jobs/ablations/generation/flux.sh,petsknn_knn_test_accuracy,Pets kNN,0.1881529838,0.0132891573,3,True
ablations/generation/flux,jobs/ablations/generation/flux.sh,training_time,Training time (h),31.4463729858,4.8622674942,3,True
ablations/generation/repopulation,jobs/ablations/generation/repopulation.sh,aircraft_test_accuracy,Aircraft Lin.,0.2054589093,0.0049709258,3,True
ablations/generation/repopulation,jobs/ablations/generation/repopulation.sh,aircraftknn_knn_test_accuracy,Aircraft kNN,0.1136772657,0.0049163340,3,True
ablations/generation/repopulation,jobs/ablations/generation/repopulation.sh,cars_test_accuracy,Cars Lin.,0.1307189564,0.0011554067,3,True
ablations/generation/repopulation,jobs/ablations/generation/repopulation.sh,carsknn_knn_test_accuracy,Cars kNN,0.0660531695,0.0047609186,3,True
ablations/generation/repopulation,jobs/ablations/generation/repopulation.sh,cifar100knn_knn_test_accuracy,CIFAR-100-LT kNN,0.3766333262,0.0027644551,3,True
ablations/generation/repopulation,jobs/ablations/generation/repopulation.sh,cifar100r_test_accuracy,CIFAR-100-LT Lin.,0.4783000052,0.0067176362,3,True
